OrderID,OrderDate,Region,Country,State,Category,SubCategory,Product,Customer,Quantity,SalesAmount,Profit
1967825,2023-02-04 15:44:44.007220,East,Northern Mariana Islands,Delaware,Accessories,Accessories,4K Monitor,Donald Walker,2,46.2,104.13
1819583,2023-06-11 15:44:44.007220,Central,Saint Pierre and Miquelon,Connecticut,Office,Electronics,Wireless Mouse,Stephanie Miller,1,232.18,131.05
1671945,2024-03-06 15:44:44.007220,South,Jamaica,Arizona,Fitness,Fitness,Wireless Mouse,Daniel Wagner,1,63.53,53.49
9516129,2024-01-26 15:44:44.007220,Central,Anguilla,Oklahoma,Office,Accessories,LED Desk Lamp,Matthew Gardner,1,104.08,-29.8
9986237,2024-07-06 15:44:44.007220,North,Cyprus,New Hampshire,Accessories,Home,Fitness Band,Rhonda Smith,3,146.92,-6.43
5808456,2024-07-06 15:44:44.007220,South,Sri Lanka,Hawaii,Accessories,Peripherals,Noise-Canceling Headphones,Gina Moore,1,52.21,0.26
1656017,2025-01-31 15:44:44.007220,North,Serbia,Michigan,Peripherals,Peripherals,Tripod,James Howard,3,61.7,120.86
4537923,2023-03-13 15:44:44.007220,West,Guatemala,Rhode Island,Fitness,Electronics,Smartwatch,Andrew Stevens,3,64.93,91.66
1422047,2024-08-06 15:44:44.007220,Central,British Virgin Islands,Missouri,Peripherals,Fitness,Laptop Stand,Edward Fuller,4,62.79,141.85
1266941,2023-03-18 15:44:44.007220,South,Turks and Caicos Islands,Mississippi,Peripherals,Electronics,Webcam 1080p,Michele Williams,1,62.74,196.14
1794522,2025-01-31 15:44:44.007220,East,Denmark,Wyoming,Office,Home,Ergonomic Desk,Bobby Hall,1,65.35,84.67
2828882,2025-01-11 15:44:44.007220,East,Bolivia,Missouri,Accessories,Home,Bluetooth Speaker,Mark Diaz,8,147.46,11.75
1297935,2023-11-30 15:44:44.007220,Central,Heard Island and McDonald Islands,Minnesota,Home,Accessories,External SSD 1TB,Derek Zuniga,2,476.75,156.62
7855439,2025-01-30 15:44:44.007220,East,Oman,California,Home,Home,Graphics Tablet,Carolyn Daniel,1,140.2,95.28
3784531,2024-10-09 15:44:44.007220,North,Central African Republic,New Jersey,Accessories,Electronics,Gaming Chair,William Bowman,1,49.13,-10.0
6830428,2024-06-15 15:44:44.007220,North,Micronesia,Iowa,Accessories,Fitness,Gaming Chair,Sarah Parsons,2,68.28,148.43
3667281,2025-10-02 15:44:44.007220,West,Denmark,Arizona,Home,Office,4K Monitor,Jennifer Jones,2,45.68,93.07
4543951,2023-09-26 15:44:44.007220,South,United States Minor Outlying Islands,Oregon,Home,Fitness,Graphics Tablet,Emily Rios,6,59.97,121.7
4508072,2025-05-10 15:44:44.007220,Central,Indonesia,Tennessee,Office,Peripherals,Webcam 1080p,Derek Wright,1,127.65,138.26
2420821,2025-10-23 15:44:44.007220,West,Moldova,Ohio,Electronics,Electronics,Noise-Canceling Headphones,Kevin Hurst,5,54.41,66.45
2664251,2023-11-07 15:44:44.007220,West,Iran,Mississippi,Fitness,Electronics,Smartwatch,Zachary Hicks,7,36.42,150.98
6502509,2025-07-30 15:44:44.007220,Central,Bermuda,Wisconsin,Peripherals,Fitness,Wireless Mouse,Brian Burton,1,46.35,13.23
2021859,2024-06-13 15:44:44.007220,East,Somalia,Utah,Electronics,Peripherals,Fitness Band,Arthur James,5,148.54,102.79
2753446,2025-07-01 15:44:44.007220,North,Lao People's Democratic Republic,North Dakota,Home,Home,Bluetooth Speaker,Juan Dunlap,3,111.83,46.29
8498441,2023-12-15 15:44:44.007220,Central,Pitcairn Islands,Washington,Electronics,Home,Portable Charger 20k mAh,Stephen Potter,6,220.8,105.29
8617169,2024-01-26 15:44:44.007220,South,Seychelles,Tennessee,Peripherals,Accessories,Graphics Tablet,Edward Moore,3,18.69,134.31
8997858,2022-12-16 15:44:44.007220,Central,Afghanistan,Washington,Peripherals,Office,Wireless Mouse,Deborah Mason,1,38.43,147.55
1976828,2024-12-27 15:44:44.007220,East,Christmas Island,North Carolina,Accessories,Electronics,Webcam 1080p,Sheila Evans,3,78.9,106.43
9618669,2023-05-25 15:44:44.007220,North,Northern Mariana Islands,North Carolina,Home,Office,USB-C Hub,Brittany Farmer,3,56.06,129.62
9037326,2023-08-29 15:44:44.007220,South,Mauritania,Wyoming,Home,Office,Graphics Tablet,Tamara George,1,55.42,54.89
2870370,2024-06-09 15:44:44.007220,Central,Liechtenstein,Alaska,Fitness,Office,Laptop Stand,Jack Galloway,8,121.62,154.49
9147886,2024-01-30 15:44:44.007220,East,Sri Lanka,Maryland,Office,Home,Ergonomic Desk,David Bradley,7,65.51,115.8
7450099,2025-11-08 15:44:44.007220,West,Belgium,Colorado,Electronics,Accessories,Webcam 1080p,Rose Spence,8,205.02,95.53
1174176,2024-11-06 15:44:44.007220,North,Marshall Islands,Wyoming,Fitness,Fitness,Webcam 1080p,Matthew Arroyo,8,59.07,65.34
9972386,2024-03-10 15:44:44.007220,North,Chad,Kentucky,Electronics,Home,Mechanical Keyboard,Lisa Brandt,2,193.3,67.48
3941005,2023-05-02 15:44:44.007220,North,Vanuatu,Ohio,Peripherals,Electronics,NVMe SSD 2TB,Melissa Marquez,7,90.29,70.92
4093055,2024-07-07 15:44:44.007220,West,Iran,Texas,Accessories,Fitness,4K Monitor,Jessica Holmes,3,71.0,67.65
9680513,2025-08-09 15:44:44.007220,South,British Indian Ocean Territory (Chagos Archipelago),Kansas,Office,Office,Laptop Stand,George Chapman,2,81.71,109.24
1682524,2023-07-01 15:44:44.007220,West,Denmark,Pennsylvania,Peripherals,Office,Fitness Band,Benjamin Welch,3,51.12,169.24
7935373,2023-04-04 15:44:44.007220,North,Denmark,California,Electronics,Office,Gaming Chair,Shannon Jones,10,28.47,83.41
1933230,2024-05-07 15:44:44.007220,South,Dominica,Louisiana,Accessories,Fitness,LED Desk Lamp,Cindy Anderson,2,95.72,59.04
2451868,2025-04-27 15:44:44.007220,South,Vietnam,Oregon,Peripherals,Office,Webcam 1080p,Dana Kennedy,3,80.2,103.09
1364748,2025-06-09 15:44:44.007220,Central,Ireland,Illinois,Electronics,Electronics,Graphics Tablet,Matthew Gomez,1,110.38,84.56
347595,2023-06-24 15:44:44.007220,South,Isle of Man,New Jersey,Accessories,Office,Router AX3000,Amy Valdez,2,178.7,130.12
8175854,2024-02-25 15:44:44.007220,West,Oman,Connecticut,Electronics,Accessories,Smartwatch,Nicholas Mcbride,2,55.64,168.04
136161,2025-02-21 15:44:44.007220,East,Botswana,Kansas,Office,Peripherals,Fitness Band,Joshua Taylor,4,128.01,216.43
9424245,2025-09-06 15:44:44.007220,South,Cocos (Keeling) Islands,Louisiana,Accessories,Peripherals,Laptop Stand,Shannon Jones,1,66.95,140.39
1081186,2023-04-18 15:44:44.007220,East,Sri Lanka,Oklahoma,Electronics,Electronics,Microphone USB,Matthew Fernandez,1,95.56,54.79
8099183,2025-10-09 15:44:44.007220,Central,American Samoa,Colorado,Accessories,Electronics,NVMe SSD 2TB,Sarah Martin,5,90.51,63.07
1444047,2023-12-30 15:44:44.007220,North,Libyan Arab Jamahiriya,New Mexico,Fitness,Electronics,Webcam 1080p,James Brown,2,47.59,113.42
6874229,2023-08-17 15:44:44.007220,Central,Hong Kong,Alabama,Accessories,Fitness,Tripod,Mrs. Rachel Gibson,5,130.62,75.34
766754,2023-05-31 15:44:44.007220,West,Jamaica,Vermont,Home,Fitness,Microphone USB,Whitney Peters,1,56.26,65.68
8870838,2024-09-22 15:44:44.007220,East,Saint Barthelemy,New York,Accessories,Home,Gaming Chair,Edward Novak,8,72.67,118.37
4104485,2024-06-10 15:44:44.007220,West,Morocco,West Virginia,Accessories,Home,Portable Charger 20k mAh,Nicole Brown,5,103.18,163.43
7770955,2024-09-22 15:44:44.007220,North,Mozambique,New Mexico,Electronics,Office,Tripod,Sarah Moore,3,74.09,72.65
9545465,2023-07-07 15:44:44.007220,North,Madagascar,Colorado,Fitness,Accessories,NVMe SSD 2TB,Andrea Jones,8,105.21,131.91
4549324,2023-09-12 15:44:44.007220,East,Tokelau,Kansas,Electronics,Accessories,Ergonomic Desk,Todd Hudson,2,196.3,32.97
4881295,2023-11-03 15:44:44.007220,West,Morocco,Rhode Island,Fitness,Home,Portable Charger 20k mAh,Bradley Sandoval,8,104.62,105.79
